,param_est__kernel,param_est__C,param_est__degree,param_est__gamma,mean_test_score,rank_test_score
140,rbf,100,2,0.01,0.9508070731727584,1
215,rbf,1000,4,0.01,0.9508070731727584,1
95,rbf,10,2,0.01,0.9508070731727584,1
200,rbf,1000,3,0.01,0.9508070731727584,1
155,rbf,100,3,0.01,0.9508070731727584,1
110,rbf,10,3,0.01,0.9508070731727584,1
185,rbf,1000,2,0.01,0.9508070731727584,1
170,rbf,100,4,0.01,0.9508070731727584,1
125,rbf,10,4,0.01,0.9508070731727584,1
139,poly,100,2,0.01,0.9391372158879212,10
55,poly,1,2,1,0.9391372158879212,10
52,poly,1,2,0.1,0.9391372158879212,10
100,poly,10,2,1,0.9391372158879212,10
184,poly,1000,2,0.01,0.9391372158879212,10
193,poly,1000,2,10,0.9391372158879212,10
103,poly,10,2,10,0.9391372158879212,10
148,poly,100,2,10,0.9391372158879212,10
97,poly,10,2,0.1,0.9391372158879212,10
190,poly,1000,2,1,0.9391372158879212,10
58,poly,1,2,10,0.9391372158879212,10
142,poly,100,2,0.1,0.9391372158879212,10
13,poly,0.1,2,10,0.9391372158879212,10
187,poly,1000,2,0.1,0.9391372158879212,10
10,poly,0.1,2,1,0.9391372158879212,10
145,poly,100,2,1,0.9391372158879212,10
167,rbf,100,4,0.001,0.9374385621673685,26
197,rbf,1000,3,0.001,0.9374385621673685,26
182,rbf,1000,2,0.001,0.9374385621673685,26
152,rbf,100,3,0.001,0.9374385621673685,26
137,rbf,100,2,0.001,0.9374385621673685,26
212,rbf,1000,4,0.001,0.9374385621673685,26
94,poly,10,2,0.01,0.9371408968318278,32
181,poly,1000,2,0.001,0.9371408968318278,32
7,poly,0.1,2,0.1,0.9371408968318278,32
81,linear,1,4,0.1,0.9357997160017504,35
159,linear,100,3,1,0.9357997160017504,35
150,linear,100,3,0.001,0.9357997160017504,35
153,linear,100,3,0.01,0.9357997160017504,35
78,linear,1,4,0.01,0.9357997160017504,35
72,linear,1,3,10,0.9357997160017504,35
84,linear,1,4,1,0.9357997160017504,35
75,linear,1,4,0.001,0.9357997160017504,35
147,linear,100,2,10,0.9357997160017504,35
156,linear,100,3,0.1,0.9357997160017504,35
171,linear,100,4,0.1,0.9357997160017504,35
87,linear,1,4,10,0.9357997160017504,35
